record,created_date,unique_key,agency_name,description,street_name,resolution_description,community_board,latitude,longitude
0,38612495,2018-03-06T02:05:52.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,02 STATEN ISLAND,40.56345223685677,-74.16974713844488
1,38616501,2018-03-06T01:05:03.000,DOT,Department of Transportation,Pothole,WASHINGTON AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,06 BRONX,40.856080459164616,-73.89239479106195
2,38614502,2018-03-06T00:09:57.000,DOT,Department of Transportation,Pothole,PARK AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,08 QUEENS,40.729226287829775,-73.80910600026677
3,38617400,2018-03-05T23:58:03.000,DOT,Department of Transportation,Pothole,FLUSHING AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,04 BROOKLYN,40.70097201870798,-73.94083528762935
4,38617432,2018-03-05T23:56:44.000,DOT,Department of Transportation,Pothole,MULBERRY STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,03 MANHATTAN,40.7165061114815,-73.9989574772525
5,38617537,2018-03-05T23:50:58.000,DOT,Department of Transportation,Pothole,2 AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,06 MANHATTAN,40.736911914636366,-73.9816185560403
6,38617538,2018-03-05T23:47:21.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,06 MANHATTAN,40.74853975884848,-73.97314483726093
7,38613536,2018-03-05T23:45:29.000,DOT,Department of Transportation,Pothole,103 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,10 QUEENS,40.680978344446785,-73.83746742383144
8,38615487,2018-03-05T23:45:10.000,DOT,Department of Transportation,Pothole,EAST   53 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,06 MANHATTAN,40.7562588355727,-73.9659696523097
9,38615519,2018-03-05T23:24:01.000,DOT,Department of Transportation,Pothole,WEBSTER AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,14 BROOKLYN,40.630830740079354,-73.97502598531213
