record,created_date,unique_key,agency_name,description,street_name,resolution_description,community_board,latitude,longitude
0,38612495,2018-03-06T02:05:52.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,02 STATEN ISLAND,40.56345223685677,-74.16974713844488
1,38616501,2018-03-06T01:05:03.000,DOT,Department of Transportation,Pothole,WASHINGTON AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,06 BRONX,40.856080459164616,-73.89239479106195
2,38614502,2018-03-06T00:09:57.000,DOT,Department of Transportation,Pothole,PARK AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,08 QUEENS,40.729226287829775,-73.80910600026677
3,38617400,2018-03-05T23:58:03.000,DOT,Department of Transportation,Pothole,FLUSHING AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,04 BROOKLYN,40.70097201870798,-73.94083528762935
4,38617432,2018-03-05T23:56:44.000,DOT,Department of Transportation,Pothole,MULBERRY STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,03 MANHATTAN,40.7165061114815,-73.9989574772525
5,38617537,2018-03-05T23:50:58.000,DOT,Department of Transportation,Pothole,2 AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,06 MANHATTAN,40.736911914636366,-73.9816185560403
6,38617538,2018-03-05T23:47:21.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,06 MANHATTAN,40.74853975884848,-73.97314483726093
7,38613536,2018-03-05T23:45:29.000,DOT,Department of Transportation,Pothole,103 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,10 QUEENS,40.680978344446785,-73.83746742383144
8,38615487,2018-03-05T23:45:10.000,DOT,Department of Transportation,Pothole,EAST   53 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,06 MANHATTAN,40.7562588355727,-73.9659696523097
9,38615519,2018-03-05T23:24:01.000,DOT,Department of Transportation,Pothole,WEBSTER AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,14 BROOKLYN,40.630830740079354,-73.97502598531213
10,38618598,2018-03-05T23:17:08.000,DOT,Department of Transportation,Pothole,3 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,06 BROOKLYN,40.676465084868454,-73.9908608704083
11,38618596,2018-03-05T22:52:49.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,08 MANHATTAN,40.78654777999216,-73.95255322912092
12,38616478,2018-03-05T22:37:27.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,07 MANHATTAN,40.77601705805608,-73.98724024932024
13,38613548,2018-03-05T22:33:42.000,DOT,Department of Transportation,Pothole,97 AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,09 QUEENS,40.69155525888739,-73.82523893058952
14,38611492,2018-03-05T22:33:02.000,DOT,Department of Transportation,Pothole,HOPKINSON AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,16 BROOKLYN,40.67385316760137,-73.91393330580907
15,38617401,2018-03-05T22:32:08.000,DOT,Department of Transportation,Pothole,HOPKINSON AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,16 BROOKLYN,40.673178004406815,-73.9140026721423
