record,created_date,unique_key,agency_name,description,street_name,resolution_description,community_board,latitude,longitude
0,38545866,2018-02-26T01:17:39.000,DOT,Department of Transportation,Pothole,,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,12 BROOKLYN,40.62465335875158,-73.98098663459571
1,38545808,2018-02-26T01:17:24.000,DOT,Department of Transportation,Pothole,AVENUE Z,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,13 BROOKLYN,40.58615271794604,-73.97081593623183
2,38549241,2018-02-26T01:17:16.000,DOT,Department of Transportation,Pothole,PARSONS BOULEVARD,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,07 QUEENS,40.779368250679894,-73.82339445525226
3,38548566,2018-02-26T01:14:28.000,DOT,Department of Transportation,Pothole,EAGLE STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 BROOKLYN,40.73493755414204,-73.95750815132881
4,38547544,2018-02-26T01:01:15.000,DOT,Department of Transportation,Pothole,AVENUE T,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,15 BROOKLYN,40.60028383318827,-73.96424501607413
5,38547041,2018-02-26T00:43:58.000,DOT,Department of Transportation,Pothole,DELANCEY STREET,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,03 MANHATTAN,40.71812203804976,-73.9869302716142
6,38549706,2018-02-26T00:17:30.000,DOT,Department of Transportation,Pothole,OCEAN AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,15 BROOKLYN,40.587728947152755,-73.94920571118423
7,38546955,2018-02-26T00:16:29.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,12 BROOKLYN,40.63768713451392,-73.99651942056552
8,38548565,2018-02-26T00:14:43.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,12 BROOKLYN,40.64034688134077,-74.00092602957479
9,38548026,2018-02-25T23:18:40.000,DOT,Department of Transportation,Pothole,209 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,11 QUEENS,40.7594887105469,-73.7749582992301
10,38548593,2018-02-25T23:08:05.000,DOT,Department of Transportation,Pothole,211 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,13 QUEENS,40.716151690304955,-73.74970534735314
11,38549159,2018-02-25T22:52:19.000,DOT,Department of Transportation,Pothole,SKILLMAN STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,03 BROOKLYN,40.69042529405387,-73.95629607648826
12,38546454,2018-02-25T22:42:33.000,DOT,Department of Transportation,Pothole,82 ROAD,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,06 QUEENS,40.703812931208276,-73.85448569781445
13,38548060,2018-02-25T22:24:01.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,15 BROOKLYN,40.59592100943067,-73.94101839076684
